402 15 2 29 1 968 89 351 279 81 17 367 60 89 488 27 57 1255 22,1,4
7 1 1146 8 3 850 3 422 1066 22 546 3 1238 206 1623 4 249,1,8
879 444 88 114 389 4 381 475 754 383 74 195 101,1,9
61 1588 338 55 242 60 57 55 672 9 642 514 1134 610 394 143 693 254 49 464,1,10
22 378 4 239 128 68 573 226 746 23 103 7 492 416 544 671 1515 68 455 9,1,12
1170 1620 74 3 253 120 1 1220 51 248 1687 354 1733,1,15
7 148 54 1531 1203 1132 1 57 453 152 694 460,1,18
562 531 154 22 38 1 33 24 9 38 8 11 52 10 61 38 160 1,1,19
27 58 1 1107 61 584 276 58 1 3 111 381 608,1,22
13 5 302 1064 1712 303 132 19 1712 1 6,1,24
61 1588 338 55 242 60 325 378 961 491 3 158 210 763 74 554 378 4 419,1,31
36 1 442 179 111 536 2 2 23 19 87 124 450 57 267 219 2 908 392,1,34
221 1695 349 31 612 1182 25 63 850 31 81 480 1409 70 1421 625,1,36
283 190 118 9 778 31 23 190 143 1304 190 1169 196 874 953 87 953,1,46
1158 1 326 281 25 350 1388 22 305 364 9 58 797,1,49
61 159 1 3 1500 1263,1,50
562 54 77 1033 1820 146 1123 1263 391 39 163 1413 592 218 283,1,51
1039 416 1 12 51 639 104 124 107 241 1178 3 155 80 34,1,53
1634 406 96 85 3 23 51 284 553 303 55 591 114,1,54
256 22 210 1 401 1047 56 48 3 149 50 90 9 1206 172 14 401 9 12,1,60
688 896 1813 387 77 1446 4 120 189 195 422 181 95 3 249 4,1,62
106 1533 1 333 324 934,1,63
22 138 872 3 1389 1144 433 872 872,1,70
13 620 44 43 1475 60 215 618 1475 355 618 1261 1475 1317 796 267,1,71
112 369 1384 96 85 454 2 261 230 1312 308 350 1504 335 372 518 44,1,75
374 5 185 488 157 733 118 9 1536 381 128 50 615 409 513 1671 510 297,1,84
186 406 376 259 27 8 259 376 86 1644 225 966 234 2 56 48 1708 212,1,86
1731 1 104 334 327 58 149 1206 4 133 1193 242 165 501 103 12 3 327,1,87
21 1070 1 93 24 9 38 1294 1529 8 758,1,88
1634 777 2 269 232 58 380 81 25 175 322 625 196 562 254 640 758,1,93
324 708 113 708 1161 1133 617,1,98
562 51 289 2 5 5 553 24 9 289 2 897 943 105 1776 154 5,1,99
256 283 60 4 28 26 102 55 210 1 179 60 923 159 589 9 77 299 1348 2,1,102
24 9 51 451 272 1 3 7 3 50 19 339 451 272 3,1,107
136 528 2 1235 1 238 1197 964 1541 98 27 53 228 3 745 579,1,110
174 9 61 145 427 774 294 474 581 1158 201 548 523 548 5 558 39 49,1,114
156 1350 111 86 259 1 3 198 340 316 651 252 189 55 966 56 48 249,1,117
