2	0
337	1
41	2
137	3
512	4
338	5
55	6
60	7
513	8
682	800
514	9
683	801
750	802
751	803
752	804
753	805
754	806
193	807
397	808
398	809
552	1000
399	810
400	811
401	812
303	813
755	814
402	815
403	816
404	817
405	818
756	819
561	1011
558	1010
211	1008
212	1007
213	1006
555	1005
556	1004
554	1003
553	1002
757	820
551	1001
758	821
406	822
407	823
183	824
759	825
760	826
761	827
320	828
214	1009
763	829
219	1022
220	1021
221	1020
569	1019
567	1018
178	1017
566	1016
177	1015
565	1014
762	830
564	1013
764	831
562	1012
765	832
766	833
258	834
259	835
260	836
767	837
768	838
769	839
231	1030
229	1029
230	1028
575	1027
139	1026
770	840
572	1025
771	841
573	1024
772	842
197	600
218	1023
773	843
849	601
774	844
850	602
78	603
775	845
776	846
854	604
63	605
777	847
778	848
856	606
779	849
326	607
863	608
867	609
780	850
321	851
781	852
869	610
782	853
870	611
783	854
879	612
784	855
885	613
785	856
886	614
64	615
786	857
787	858
893	616
788	859
895	617
438	618
899	619
408	860
409	861
410	862
898	620
789	863
900	621
301	864
442	622
790	865
443	623
791	866
444	624
124	867
445	625
322	868
905	626
792	869
906	627
909	628
910	629
323	870
794	871
795	872
911	630
180	631
796	873
802	874
914	632
307	633
803	875
804	876
916	634
805	877
917	635
194	636
411	878
412	879
918	637
919	638
921	639
807	880
808	881
810	882
920	640
811	883
922	641
175	642
812	884
446	400
125	401
813	885
924	643
814	886
907	402
925	644
815	887
908	403
453	645
416	888
270	404
454	646
417	889
271	405
455	647
143	406
928	648
272	407
932	649
447	408
448	409
418	890
817	891
818	892
931	650
819	893
329	651
821	894
912	410
936	652
313	411
822	895
458	653
823	896
913	412
276	654
422	897
915	413
277	655
827	898
449	414
278	656
829	899
450	415
461	657
198	658
451	416
452	417
944	659
122	418
309	419
943	660
945	661
923	420
946	662
112	421
948	663
113	422
949	664
114	423
950	665
115	424
464	666
116	425
465	667
926	426
466	668
927	427
331	669
930	428
935	429
47	670
345	671
306	672
934	430
557	673
456	431
215	674
457	432
216	675
937	433
305	434
217	676
559	677
939	435
560	678
942	436
563	679
77	437
947	438
462	439
346	680
349	681
347	682
463	440
348	683
952	441
568	684
308	200
954	442
570	685
65	201
955	443
571	686
21	444
472	202
222	687
957	445
968	203
223	688
958	446
969	204
224	689
167	447
475	205
168	448
476	206
967	449
477	207
971	208
972	209
225	690
227	691
228	692
474	450
226	693
292	451
350	694
57	210
970	452
574	695
478	453
973	211
576	696
479	454
974	212
577	697
480	455
981	213
578	698
481	456
985	214
579	699
25	457
987	215
169	458
484	216
170	459
69	217
489	218
203	219
53	460
983	461
982	462
994	220
984	463
335	221
483	464
333	222
986	465
490	223
993	466
491	224
334	467
999	225
995	468
171	226
996	469
172	227
173	228
492	229
997	470
998	471
179	472
1002	230
1000	473
1003	231
129	474
496	232
601	475
497	233
603	476
498	234
604	477
205	235
353	478
1004	236
354	479
1005	237
499	238
500	239
605	480
607	481
608	482
12	240
235	483
1006	241
232	484
501	242
233	485
295	243
234	486
20	244
355	487
502	245
30	246
356	488
357	489
1011	247
1012	248
1017	249
610	490
611	491
126	492
1018	250
358	493
1019	251
613	494
106	252
615	495
296	253
617	496
1020	254
619	497
98	255
620	498
505	256
621	499
508	257
509	258
1024	259
510	260
195	261
1025	262
97	263
28	264
50	265
1026	266
1027	267
658	268
314	269
662	270
368	271
187	272
667	273
141	274
668	275
676	276
189	277
10	278
685	279
692	280
378	281
694	282
695	283
696	284
95	285
697	286
698	287
699	288
700	289
18	290
250	291
701	292
702	293
182	294
704	295
705	296
706	297
382	298
383	299
830	900
423	901
424	902
834	903
835	904
836	905
839	906
840	907
841	908
843	909
185	910
845	911
846	912
324	913
264	914
265	915
266	916
267	917
847	918
848	919
851	920
325	921
425	922
426	923
427	924
852	925
853	926
429	927
430	928
428	929
858	930
859	931
860	932
304	933
861	934
862	935
864	936
865	937
433	938
434	939
432	940
874	941
580	700
875	942
581	701
878	943
582	702
880	944
583	703
881	945
584	704
883	946
585	705
435	947
586	706
436	948
587	707
437	949
589	708
588	709
887	950
889	951
590	710
890	952
516	953
351	711
517	954
352	712
518	955
591	713
519	956
592	714
520	957
593	715
176	958
594	716
521	959
595	717
596	718
598	719
522	960
523	961
524	962
597	720
525	963
599	721
526	964
600	722
527	965
602	723
528	966
27	724
342	967
606	725
529	968
140	726
530	969
609	727
236	728
238	729
531	970
532	971
533	972
237	730
146	973
612	731
147	974
239	732
148	975
240	733
534	976
241	734
535	977
242	735
536	978
614	736
537	979
616	737
618	738
361	739
538	980
539	981
540	982
359	740
541	983
360	741
542	984
