451 774 167 548,1,1
137 573 251 3723 290 1041 5 103 224,1,2
44 3622 47 66 15 1051 3172 349 3835 1732 57 21 1059 21 2357 1316 33,1,3
1531 1541 646 3820 1541 142 1520 87 510 689,1,5
88 167 5 202 21 2101 92 5 111 1 202 386 12 648 55 5 3217 439,1,6
2355 360 83 1930 3485 92 2527 1399 82 500,1,7
1117 727 35 1959 234 15 98 373 14 678 8 460,1,9
10 9 526 238 335 1584 1 25 3546 1792 10 530 117 133 484 48 29 10 9,1,10
7 60 15 1070 109 9 131 181 4107 33 849 5 12 9 131 238 783 878 76,1,11
5 118 599 12 2 83 313,1,12
33 719 6 2 99 262 104 105 33 2 3635 1048 12 262 629 702 596 846 86,1,13
145 719 15 6 472 5 12 2 76 14 15 99 33 2241 44 1658 719 15 6,1,16
25 139 124 345 897 412 99 196 334 124 7 13 412 99 196 885 897 606 99 4497,1,17
15 32 1499 677 282 288 5 942 54 15 99 2 282 367 151 2104,1,18
226 1842 1328 340 3948 327 1008 679 2373 48 22 807 1062 833 246 85 2129 1274,1,19
1579 4418 996 2 5 3635 4248 7 5 1136 142 851 2233 6 102 2931 54 4255,1,20
3871 7 524 1778 222 99 336 7 231 191 21 10 1 3059 17 41 1554 61 22,1,21
261 381 1850 25 145 587 1037 1002 5 356 188 567 589 42,1,22
48 5 1530 124 1530 1530 1136,1,23
6 1168 2767 3572 1091 11 98 1322 736 8 2547 54 381 3808 98,1,24
771 11 3861 684 510 3823 5 1198 112 2128 97 700 112 1944 90 411 1198 77 129,1,25
236 77 341 676 2 2062 3073 96 66 435 1936 226 2 4 104 25 1006 2 2062 79,1,26
15 841 484 600 88 43 87 736 1494 569 280 2899 841 234 953 183 1709 280 76,1,27
29 20 329 31 198 7 140 10 1 17 41 61 22 71 45 106 13 52 7 106,1,28
11 1538 587 1311 243 1981 2594 115 5 950 12 360 15 2866 55 14 85 637 14,1,29
486 25 21 11 361 4 105 909 710 25 4 254 167 1 202 92 29 486 50 4,1,31
509 264 1359 74 167 21 420 74 589 485 2800 87 2276 2733 992 4290,1,32
1585 99 63 76 209 124 1862 220 18 1434 1489 822 961 498 1753 111 9 875 379 84,1,33
522 3686 2647 1648 11 499 858 3013 2647 3686 4073 283,1,34
66 1109 44 3369 66 210 6 288 88 3369 5 46 46 152 966 74 5,1,35
76 672 3776 1630 944 822 433 455 307 1308 30 1140 387 307 204 72 751 874,1,36
2036 5 160 661 21 1248 133 1159 451 1920 1445 12 531 22 765 661 31 340 610 3498,1,37
2696 605 2295 678 210 627 31 1202 2433 48 1491 147 1784 35 103 23 1419 39,1,38
1117 4334 2244 109 1850 436 18 31 25 120 1948 4480 1272 1581 745 14 564 1667,1,39
462 3981 8 641 92 1 87 423 462 29 502 1840 204 283 133 1854 1544 128 1212 14,1,40
23 23 5 947 891 910 235 621 232 1862 15 99 72 529 5 1571 1778 223 3885,1,41
3861 684 626 273 5 2 4 624 430 18 357 797 621 974 200 5 1017 624 430,1,43
71 1628 1431 429 222 12 50 156 3611 2055 471 49 1934 220 1585,1,44
1439 99 929 290 12 285 1041 224 497 5 438 1 566 224 50 268 1610 224 136 7,1,45
104 683 1016 673 104 5 491 1025 727 827 376 2037 104 5 873 3854 1188,1,47
1021 1470 2118 1500 671 69 2343 1021 1021 1109 1021 589 16 7 2061 104 5 5 3343,1,50
673 2178 77 2539 398 515 2 229 44 2413 77 341 137 488 1986 364 341 295,1,51
39 87 2 4 624 75 462 402 4 390 5 33 12 1444 1328 2 4 275 424 4,1,53
4 104 5 634 430 873 188 422 744 33 87 81 66 4 1572 3937 5 116 261,1,54
2 4 28 735 601 118 40 6 66 130 39 52 278 153 444 586 926 601 261 100,1,55
652 125 172 66 12 10 159 2540 15 247 2096 1192 10 5 48 61,1,56
865 4017 724 2 4,1,57
76 2243 59 376 464 294 10 160 77 341 2 4 59 161 111 161 10 129 34,1,59
